CO_IES;NO;NE;CO;SUL;SE;CO_TURNO_ALUNO;CO_TURNO_MATUTINO;CO_TURNO_VESPERTINO;CO_TURNO_NOTURNO;CO_TURNO_INTEGRAL;CO_TURNO_N_INF;CO_ALUNO;CO_ALUNO_SITUACAO;CO_ALUNO_EVASAO;CO_ALUNO_FORMADO;NO_EVENTO;EVENTO;CO_ALUNO_CEN;CO_COR_RACA_ALUNO;IN_SEXO_ALUNO;NU_IDADE_ALUNO;IN_ALUNO_DEFICIENCIA;IN_DEF_AUDITIVA;IN_DEF_FISICA;IN_DEF_MENTAL;IN_DEF_MULTIPLA;IN_SURDEZ;IN_SURDOCEGUEIRA;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_ATIVIDADE_COMPLEMENTAR;IN_RESERVA_VAGAS;IN_ING_CONVENIO_PECG;IN_RESERVA_ETNICO;IN_RESERVA_DEFICIENCIA;IN_RESERVA_ENSINO_PUBLICO;IN_RESERVA_RENDA_FAMILIAR;IN_RESERVA_OUTROS;IN_APOIO_SOCIAL;IN_APOIO_ALIMENTACAO;IN_APOIO_BOLSA_PERMANENCIA;IN_APOIO_BOLSA_TRABALHO;IN_APOIO_MATERIAL_DIDATICO;IN_APOIO_MORADIA;IN_APOIO_TRANSPORTE;IN_ATIV_ESTAG_N_OBRIG_NAO_REM;IN_ATIV_EXTENSAO_NAO_REM;IN_ATIV_MONITORIA_NAO_REM;IN_ATIV_PESQUISA_NAO_REM;IN_ATIV_ESTAG_N_OBRIG_REM;IN_ATIV_EXTENSAO_REM;IN_ATIV_MONITORIA_REM;IN_ATIV_PESQUISA_REM;ANO_INGRESSO;ANO_BASE;TEMPO;IN_DEF_SUPERDOTACAO;IN_TGD_AUTISMO_INFANTIL;IN_TGD_SINDROME_ASPERGER;IN_TGD_SINDROME_RETT;IN_TGD_TRANSTOR_DESINTEGRATIVO;T1;T2;T3;T4;T5;T6;T7;T8;T9
571;0;0;0;1;0;3;0;0;1;0;0;400002319155;4;1;0;Evadido;1;1;0;1;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002319208;4;1;0;Evadido;1;1;0;1;23;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002319883;4;1;0;Evadido;1;1;0;1;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002320315;4;1;0;Evadido;1;1;0;1;21;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002320639;4;1;0;Evadido;1;1;0;1;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002320647;4;1;0;Evadido;1;1;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002320649;4;1;0;Evadido;1;1;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002320697;4;1;0;Evadido;1;1;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002320973;4;1;0;Evadido;1;1;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321232;4;1;0;Evadido;1;1;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321531;4;1;0;Evadido;1;1;0;1;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321535;4;1;0;Evadido;1;1;0;1;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321538;4;1;0;Evadido;1;1;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321547;4;1;0;Evadido;1;1;0;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321557;4;1;0;Evadido;1;1;4;0;18;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321563;4;1;0;Evadido;1;1;0;0;21;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321567;4;1;0;Evadido;1;1;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321576;4;1;0;Evadido;1;1;0;0;18;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321592;4;1;0;Evadido;1;1;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321597;4;1;0;Evadido;1;1;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321598;4;1;0;Evadido;1;1;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321611;4;1;0;Evadido;1;1;0;1;30;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321636;4;1;0;Evadido;1;1;1;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321652;4;1;0;Evadido;1;1;0;1;21;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321661;4;1;0;Evadido;1;1;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321676;4;1;0;Evadido;1;1;0;0;33;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321683;4;1;0;Evadido;1;1;0;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321695;4;1;0;Evadido;1;1;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321700;4;1;0;Evadido;1;1;1;1;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321706;4;1;0;Evadido;1;1;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321717;4;1;0;Evadido;1;1;0;1;19;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321741;4;1;0;Evadido;1;1;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321747;4;1;0;Evadido;1;1;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321757;4;1;0;Evadido;1;1;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321758;4;1;0;Evadido;1;1;0;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321769;4;1;0;Evadido;1;1;9;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321779;4;1;0;Evadido;1;1;0;1;30;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321808;4;1;0;Evadido;1;1;1;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321810;4;1;0;Evadido;1;1;0;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321815;4;1;0;Evadido;1;1;1;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321827;4;1;0;Evadido;1;1;0;0;18;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321850;4;1;0;Evadido;1;1;0;1;25;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321860;4;1;0;Evadido;1;1;4;1;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
57;0;0;0;1;0;3;0;0;0;0;1;400002321881;4;1;0;Evadido;1;1;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321888;4;1;0;Evadido;1;1;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321889;4;1;0;Evadido;1;1;0;0;18;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321895;4;1;0;Evadido;1;1;0;0;19;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321904;4;1;0;Evadido;1;1;0;1;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321930;4;1;0;Evadido;1;1;0;0;18;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321940;4;1;0;Evadido;1;1;0;1;18;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321944;4;1;0;Evadido;1;1;0;1;19;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321956;4;1;0;Evadido;1;1;0;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321962;4;1;0;Evadido;1;1;0;1;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321963;4;1;0;Evadido;1;1;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002321997;4;1;0;Evadido;1;1;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002322000;4;1;0;Evadido;1;1;0;1;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002322051;4;1;0;Evadido;1;1;0;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002322063;4;1;0;Evadido;1;1;0;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002322064;4;1;0;Evadido;1;1;0;1;23;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002322071;4;1;0;Evadido;1;1;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002322076;4;1;0;Evadido;1;1;0;1;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002322089;4;1;0;Evadido;1;1;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002322097;4;1;0;Evadido;1;1;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002322099;4;1;0;Evadido;1;1;0;1;28;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002322100;4;1;0;Evadido;1;1;0;1;27;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002322101;4;1;0;Evadido;1;1;0;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
